书名,作者,介绍,更新时间
捞尸人,纯洁滴小龙, 人知鬼恐怖，鬼晓人心毒。这是一本传统灵异小说。 ,2025-03-09 23:23
没钱修什么仙？,熊狼狗, 老者：“你想报仇？”少年：“我被强者反复侮辱，被师尊视为垃圾，我怎么可能不想报仇？”老者摸了摸少年的脑袋，叹道：“好孩子，我来传功给你吧。”少年惊道：“前辈！这怎么行？”老者伸出手：“把你手机给我。”少年看着手机上的变化，震惊道：“前辈！这哪里来的百年功力？”老者微微一笑：“好孩子，这是你在天庭的备用功力，以后急用的时候随用随取，别再被人侮辱了。”少年皱眉：“这不是法力贷吗？我怕……”老者：“天庭是大平台，新用户借百年功力有30天免息，日息最低半天功力，还没你吐纳一周天多。”……张羽冷哼一声，关掉了上面的广告。 ,2025-03-09 12:01
夜无疆,辰东, 那一天太阳落下再也没有升起………………… ,2025-03-10 02:15
剑啸灵霄,流浪的蛤蟆, 年少轻狂，袖里白蛇，铮铮化剑，直上灵霄。2025，武侠走起！ ,2025-03-10 07:30
玄鉴仙族,季越人, 陆江仙熬夜猝死，残魂却附在了一面满是裂痕的青灰色铜镜上，飘落到了浩瀚无垠的修仙世界。凶险难测的大黎山，眉尺河旁小小的村落，一个小家族拾到了这枚镜子，于是传仙道授仙法，开启波澜壮阔的新时代。(家族修仙，不圣母，种田，无系统，群像文) ,2025-03-09 20:00
异度旅社,远瞳, 在日常之下，在理性尽头，在你所熟悉的世界之外——是你从未想象过的风景。当于生第一次打开那扇门的时候，他所熟悉的世界便轰然倒塌。而那直抵世界根源的“真相”，扑面而来。 ,2025-03-10 07:30
刚准备高考，离婚逆袭系统来了,七月封阳, 蟹妖，人在高三，离婚逆袭系统早到二十年。【三十八岁，你婚姻失败，站在而立/不惑之年的十字路口，想起了少年时的青梅。结婚后，你们断绝了来往，再无她的消息。与徐浅浅重新建立联系，奖励：300RMB。】十八岁的江年看了一眼面板上的系统任务，又看了一眼住在对门的徐浅浅。不由陷入沉思，嗯.......这系统似乎来早了。还有一件事。未来的前妻是谁？呃......江年有些绷不住了，年年十八岁，未来会离婚。系统颁布报复前妻的任务，江年望了望眼前还未“黑化”的前妻，再次陷入了沉思。青梅、未来的前妻、未来前女友，全是年轻版本，一个个出现的时候。系统有点变质了。有九千八百均完结老书《恋综：从万人嫌开始爆红》 ,2025-03-09 23:58
诡秘之主,爱潜水的乌贼, 蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？我从诡秘中醒来，睁眼看见这个世界：枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，这是一段“愚者”的传说。 ,2022-11-25 16:27
多我一个后富怎么了,渔雪, 初学医，未能从业，后贩电视，遇下周回国，遂共享经济，押金不退，再投身地产，有所成就，终挑一良盘，却没能封顶……2008年，俞兴从梦中醒来，发现自己回到了理财亏空的金融危机前夕。这一年，巨头成型，资本觉醒，他只能一边艰难创业，一边又迫于无奈的劫富济贫。没钱了？做空去吧…没钱了？做空去吧！有钱了？做，哦，来都来了，做空去吧。许久之后，俞兴的公司马甲被媒体曝光，他亲口承认，一切便都炸裂了！最良心的总裁与最狠毒的金融黑手怎么能是一个人？！而这只是媒体挖出来的冰山一角。他割韭菜，他搅乱秩序，他建交易所，他让人谈之色变，也让人趋之若鹜。俞兴所到之处，拥趸无数，仇视无数。 ,2025-03-09 21:20
1979黄金时代,睡觉会变白, 这还是一个有点怀旧的故事，嗯……………… ,2025-03-09 21:53
大道之上,宅猪, 我的爷爷很古怪，他每天给自己上香，站在自己的灵位前吃蜡烛。村里的人都很怕爷爷。我也很怕爷爷。后来我才发现，他们害怕的不是爷爷，而是我。爷爷也很怕我。……我叫陈实。诚实的陈，老实的实。来阅文旗下网站阅读我的更多作品吧！ ,2025-03-09 23:08
谁让他修仙的！,最白的乌鸦, “我反复强调，修仙界的风气本来就是歪的，不是我带歪的，都说史书是胜利者书写的，那为什么我获胜了还总是有人诬陷我？”陆阳剑仙面对记者采访如此说道，表示非常愤怒。第二天。“我反复强调，修仙界的风气是我带歪的，史书是胜利者书写的，我获胜了！”陆阳剑仙面对记者的采访时如此说道，表示非常愤怒。——《修仙日报》为您报道。 ,2025-03-04 23:30
华娱从男模开始,河马不会叫, 梦回2015，从男模开始混迹娱乐圈。不要跟我说什么背景有多强，人脉有多厉害，潜规则有多黑。重活一世的白良表示自己两辈子都没受过什么委屈，吃过最大的苦是冰美式，扛过最重的东西是华伦天奴。混圈，两个字。运气嘛！他倒要看看这娱乐圈到底是怎么个事儿。这个圈子里有人靠才华，有人靠背景，有人靠实力......白良直接让他们见识见识，靠运气的含金量。如果你不喜欢现在的好运·卡皮巴拉形态，接下来登场的就是强运·我不吃牛肉！ ,2025-03-10 07:51
万历明君,鹤招, 公元1572年，距离明朝灭亡、山河沦丧还有72年。此时东南倭寇横行，西北鞑靼叩关，地方兼并日重，军政疲惫百姓困苦，隆庆皇帝刚刚驾崩。石越却在此时，穿越到了历史上三十年不上朝的万历皇帝朱翊钧身上。好消息是，此时的朱翊钧，还没有登基。没来得及祸害朝政。坏消息是，此时的朱翊钧，还没有登基。司礼监掌印冯保想做皇权代言人。首辅高拱想架空皇帝增强内阁。次辅张居正一心主政推行新法。唯一的指望，自己的生母李氏，还是动辄罚跪，逼他写罪己诏。……将倾的大厦就在眼前，各方交错的中枢刀光剑影。受国不祥，是为天下王。既登帝位，这天下，朕不来救谁来救？ ,2025-03-10 00:26
道诡异仙,狐尾的笔, 诡异的天道，异常的仙佛，是真？是假？陷入迷惘的李火旺无法分辨。可让他无法分辨的不仅仅只是这些。还有他自己，他病了，病的很重。 ,2025-03-09 10:09
轮回乐园,那一只蚊子, 苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园…… ,2025-03-07 22:19
